,date,p_(mbar),T_(degC),Tpot_(K),Tdew_(degC),rh_(%),VPmax_(mbar),VPact_(mbar),VPdef_(mbar),sh_(g/kg),H2OC_(mmol/mol),rho_(g/m**3),wv_(m/s),max._wv_(m/s),wd_(deg),rain_(mm),raining_(s),SWDR_(W/m�),PAR_(�mol/m�/s),max._PAR_(�mol/m�/s),Tlog_(degC),OT
49,2020-02-19,142618.29,692.79,40138.36,-47.34,10019.5,1242.35,862.24,380.18,542.9399999999999,870.81,178327.52,498.66,861.54,33039.6,3.9,5710.0,8256.32,16389.36,23668.7,2136.7,60677.6
50,2020-02-20,142750.13,645.38,40080.49,36.29,10676.73,1228.59,906.31,322.28,570.24,914.52,178700.6,-9487.07,778.52,27976.1,1.4,3730.0,7425.33,15578.38,18013.670000000002,2051.11,-293261.6
51,2020-02-21,143409.06,753.4,40135.64,-82.0,9622.96,1282.67,847.37,435.33,530.7,851.25,179054.68,527.74,935.02,33286.1,2.3000000000000003,7110.0,13716.48,26709.27,37659.78,2209.42,60542.4
52,2020-02-22,143116.54,1145.52,40552.11,6.52,8359.36,1564.97,889.96,675.13,558.33,895.51,176955.39,760.93,1188.68,29695.6,10.7,0.0,8133.8,16322.59,22468.9,2429.09,60483.8
53,2020-02-23,142047.44,1408.57,40903.41,753.54,10565.4,1756.59,1289.15,467.56,816.12,1307.54,174302.18,572.41,1121.38,33328.0,10.1,11230.0,3831.54,8703.65,11606.93,2697.54,60344.8
54,2020-02-24,142478.75,743.42,40201.11,54.57,10289.86,1284.15,920.25,363.83,580.81,931.32,177915.0,437.8,733.25,30285.5,0.4,3650.0,6000.42,12644.0,14600.39,2166.13,60671.6
55,2020-02-25,140153.24,1163.37,40813.14,493.77,10516.86,1569.15,1140.73,428.36,731.11,1171.66,173077.23,548.62,879.04,31132.9,2.2,2460.0,8458.32,17148.43,24172.92,2568.65,60375.2
56,2020-02-26,139760.59,319.11,39994.49,-35.05,12069.9,1033.17,864.74,168.42,555.46,891.0,176390.12,363.08,676.96,33633.3,4.2,15380.0,7782.47,15765.61,21599.99,1851.33,60765.8
57,2020-02-27,140456.78,300.2,39918.66,-209.84,11225.3,1027.2,791.09,236.07,505.65,811.23,177394.06,355.99,593.68,26914.61,1.9,19110.0,8632.83,17661.74,21130.32,1885.02,60949.4
58,2020-02-28,142088.24,340.35,39827.22,-195.22,11104.93,1047.79,797.41,250.32,503.81,808.26,179271.77,422.1,714.04,32543.4,0.8,5270.0,10411.05,20843.61,31741.89,1878.33,60821.2
59,2020-02-29,140194.07,908.83,40554.17,342.15,11048.78,1409.91,1052.66,357.24,674.91,1081.97,174291.64,617.62,925.04,27405.5,1.6,9040.0,9416.65,18749.19,21354.41,2293.22,60533.9
60,2020-03-01,139853.35,1063.2,40737.25,131.69,9261.24,1491.77,941.54,550.25,604.53,969.47,173225.85,739.89,1109.18,29410.6,0.1,250.0,16771.45,32499.8,47237.97,2408.04,60518.4
61,2020-03-02,139238.9,978.28,40702.88,36.53,9219.33,1436.09,899.0,537.15,579.65,929.65,172850.22,461.69,752.97,25681.11,0.3,1540.0,19975.47,38319.63,42871.8,2547.35,60505.7
62,2020-03-03,140217.17,660.84,40301.88,61.36,10811.92,1226.7,912.07,314.64,584.21,937.01,175439.11000000002,274.44,512.23,33659.68,4.1000000000000005,15110.0,10475.48,21169.47,28257.85,2261.27,61328.3
63,2020-03-04,141733.4,301.14,39816.38,-126.9,11705.19,1040.22,827.57,212.64,524.04,840.74,179000.42,294.96,475.84,28807.36,0.0,0.0,12906.86,25308.86,35085.1,1958.62,62198.9
64,2020-03-05,140356.85,608.8,40238.7,-47.39,10790.06,1228.78,864.06,364.69,553.02,886.97,175904.16,354.83,581.16,25628.7,2.8000000000000003,12100.0,17679.26,34695.87,39740.3,2243.02,61697.6
65,2020-03-06,139221.62,798.12,40522.58,352.34,11645.34,1311.8,1052.42,259.45,679.26,1088.87,173529.24,464.32,773.2,31000.3,1.7000000000000002,8440.0,8085.51,17016.19,20983.94,2314.14,61688.1
66,2020-03-07,142206.01,579.42,40057.85,59.88,11223.37,1176.99,908.63,268.36,573.93,920.31,178290.6,324.17,623.89,36543.9,5.0,16020.0,10277.27,20522.01,33554.61,2117.39,61003.7
67,2020-03-08,142565.94,696.51,40146.6,84.58,10718.66,1266.83,923.16,343.61,581.55,932.76,178239.78,389.99,617.6,27165.0,0.0,0.0,12573.63,25360.99,28768.72,2234.15,61430.0
68,2020-03-09,141946.9,1024.32,40525.52,372.83,10616.0,1465.39,1063.01,402.37,672.74,1078.55,175938.76,255.22,433.79,31922.5,1.2,11080.0,11917.85,23972.99,34718.88,2667.25,61088.8
69,2020-03-10,141446.19,867.62,40409.28,420.79,11596.99,1364.13,1099.21,264.92,698.48,1119.5,175990.79,770.03,1130.05,29185.8,1.1,14880.0,6003.18,13203.46,14899.58,2131.36,61138.0
70,2020-03-11,141722.6,1404.75,40926.01,1195.4,13070.0,1748.9,1583.64,165.18,1005.09,1609.18,173775.18,271.13,501.32,29416.49,13.3,46980.0,6530.2,14505.78,17607.87,2899.18,60604.2
71,2020-03-12,141560.54,1487.15,41022.31,600.1,9591.79,1824.86,1224.92,600.09,777.91,1246.36,173398.47,547.37,929.99,32553.7,0.7999999999999999,1470.0,13947.26,28253.05,47674.45,2856.12,60316.2
72,2020-03-13,142357.99,865.56,40332.71,-82.16,9198.72,1362.14,846.11,516.05,533.51,855.8100000000001,177251.43,504.43,939.4,34153.1,1.2,2240.0,18653.11,36069.84,54181.81,2316.36,60518.4
73,2020-03-14,143438.41,731.55,40111.4,-201.21,9250.6,1277.52,797.0,480.5,498.8,800.19,179220.48,258.79,442.41,22112.12,0.0,0.0,24279.24,45874.11,53710.56,2477.93,60637.8
74,2020-03-15,142980.29,947.37,40364.72,-522.21,7298.74,1459.86,673.62,786.15,422.75,678.38,177787.83,466.03,707.37,27011.0,0.0,0.0,24887.7,47370.42,51246.09,2450.04,60954.5
75,2020-03-16,142990.7,1367.78,40784.57,106.81,7934.04,1798.58,963.31,835.25,604.79,969.53,175832.47,242.6,418.12,26937.46,0.0,0.0,23147.08,45047.42,48729.49,2962.95,61339.0
76,2020-03-17,144152.19,1222.78,40545.47,794.14,11786.19,1623.17,1311.31,311.88,817.5,1309.7,177696.92,164.2,281.15,25840.42,0.8,1580.0,10519.08,21398.84,27288.57,2896.47,64211.8
77,2020-03-18,144082.59,1333.71,40662.45,651.19,10914.6,1811.94,1229.18,582.73,766.77,1228.7,177240.34,274.4,451.4,30347.0,0.0,0.0,23957.94,47128.16,54939.72,3053.38,63231.1
78,2020-03-19,143726.92,1560.23,40917.56,751.17,10096.33,1925.32,1278.37,647.0,799.4,1280.79,175742.46,254.77,421.01,14238.31,0.0,0.0,22725.56,44269.66,52902.26,3175.49,62948.4
79,2020-03-20,143638.82,948.38,40312.3,640.09,12440.76,1409.51,1221.84,187.6,764.53,1225.14,178300.86,493.22,737.4,6002.77,0.0,2490.0,3369.98,7664.519999999999,8614.06,2320.91,62291.3
80,2020-03-21,144114.92,468.04,39793.96,-269.86,10106.24,1112.76,781.1,331.59,486.62,780.77,181258.71,643.55,979.52,6965.29,0.0,610.0,8504.23,17270.07,25597.85,1761.38,60978.6
81,2020-03-22,144971.02,61.44,39320.78,-1087.74,8116.9,915.81,500.55,415.27,309.71,497.29,184361.59,561.51,878.02,8616.13,0.0,0.0,27459.77,51101.72,62310.7,1529.14,61091.7
82,2020-03-23,145396.88,29.44,39256.0,-1466.75,6749.71,909.39,405.5,503.87,250.05,401.57,185111.78,318.82,525.72,16480.94,0.0,0.0,30442.06,56027.92,57366.78,1725.92,61825.1
83,2020-03-24,145055.61,133.74,39386.56,-1419.12,6722.71,973.67,416.31,557.32,257.34,413.23,184202.97,290.69,490.28,16493.69,0.0,0.0,30622.32,56044.17,57472.53,1879.16,62271.0
84,2020-03-25,144273.15,275.69,39589.56,-1383.95,6385.94,1045.26,424.46,620.92,263.69,423.58,182550.22,402.48,652.42,13921.35,0.0,0.0,30979.48,56571.99,57921.43,1867.49,62055.7
85,2020-03-26,143528.99,630.38,40002.94,-831.02,6882.22,1237.85,580.79,657.06,363.17,582.79,179913.69,502.53,830.71,17353.35,0.0,0.0,25560.77,48569.5,53028.51,2019.58,61295.8
86,2020-03-27,142982.53,1223.36,40640.97,-180.07999999999998,7386.75,1695.21,816.05,879.15,512.46,822.01,176534.45,596.79,866.23,8966.49,0.0,0.0,28109.67,53433.34,54851.89,2487.86,61651.8
87,2020-03-28,142920.58,1162.43,40584.79,-81.22,8038.53,1586.89,845.46,741.39,530.96,851.78,176662.94,255.32,440.35,12310.88,0.0,0.0,29123.54,54282.08,55991.05,2732.75,62134.6
88,2020-03-29,143405.3,364.05,39746.33,-143.96,11221.03,1062.76,822.78,239.9,515.21,826.5,180824.92,464.23,795.41,16747.22,1.8,18500.0,8139.8,17046.69,22081.25,1848.4,61105.1
89,2020-03-30,144057.1,88.23,39419.02,-990.89,8659.36,935.77,547.0,388.8,340.69,546.91,183063.1,208.78,408.87,28377.51,0.0,1480.0,31006.55,58247.67,63523.69,1971.62,61013.8
90,2020-03-31,144181.58,161.13,39481.91,-911.46,8634.83,959.07,564.46,394.58,351.32,563.89,182858.85,415.24,667.88,10425.95,0.0,190.0,25794.56,48880.48,65279.11,1756.87,61165.2
91,2020-04-01,143166.61,268.92,39670.47,-1116.25,7477.88,1071.16,491.24,579.98,307.77,494.14,181183.71,173.17,320.26,27616.73,0.0,0.0,33553.34,63737.03,65167.09,2190.58,61856.9
92,2020-04-02,141935.84,686.73,40187.97,-616.82,7837.25,1321.26,644.45,676.71,407.55,653.97,177683.37,216.66,405.8,29954.69,0.0,0.0,32941.85,62544.98,64373.69,2444.62,62368.3
93,2020-04-03,142239.33,868.14,40344.7,80.9,9806.59,1358.83,921.23,437.6,581.34,932.32,177051.17,190.41,347.25,32611.14,0.3,650.0,7740.46,16397.11,20558.06,2465.14,61687.1
94,2020-04-04,143691.67,946.45,40306.15,-17.07,9283.82,1429.77,874.59,555.1,546.6,876.59,178551.68,206.42,353.73,19202.63,0.0,0.0,24130.97,47136.63,56805.36,2670.16,61847.5
95,2020-04-05,143911.74,1246.81,40589.34,-87.75,8017.56,1739.08,845.0,894.09,527.07,845.53,177589.29,243.43,436.26,21021.08,0.0,0.0,33811.04,64489.16,66091.47,2913.02,62089.1
96,2020-04-06,143463.96,1769.98,41148.88,59.16,6916.37,2263.76,910.82,1352.84,570.01,914.24,174774.09,199.51,352.34,20112.71,0.0,0.0,34851.5,66658.26,68088.76,3428.04,62149.5
97,2020-04-07,144445.89,1742.63,41041.09,818.98,9423.0,2117.36,1355.43,761.97,843.39,1350.86,175816.64,292.28,455.82,13150.32,0.0,0.0,33494.12,64887.41,67475.05,3314.79,63220.6
98,2020-04-08,143934.53,1788.59,41129.57,332.25,8532.55,2231.02,1067.71,1163.33,666.02,1067.57,175171.28,143.2,264.66,22150.58,0.0,0.0,32239.41,61610.78,63353.18,3567.17,63230.3
99,2020-04-09,143596.03,1664.89,41032.8,495.97,8377.85,2054.8,1148.85,905.8,718.85,1152.06,175212.94,248.08,406.92,14077.85,0.0,0.0,32209.63,62229.28,69115.14,3282.39,62829.4
100,2020-04-10,143801.13,1585.85,40937.26,464.49,8839.81,1971.6,1125.68,845.95,703.2,1127.29,175808.93,216.83,397.96,20208.63,0.0,0.0,34434.2,66574.1,75382.97,3283.75,62957.7
101,2020-04-11,143810.3,1346.71,40697.21,-222.75,7035.55,1771.56,786.69,984.78,490.94,787.73,177016.23,192.0,331.46,16137.53,0.0,0.0,36565.55,70741.64,72863.28,3119.5,62095.1
102,2020-04-12,142515.53,1922.26,41380.77,278.22,7099.13,2452.02,1025.85,1426.13,646.92,1037.1,172955.54,253.97,419.08,28237.61,0.0,0.0,30210.46,58443.95,72618.29,3552.68,62096.5
103,2020-04-13,142395.9,1167.9,40633.27,-3.98,8287.27,1584.66,919.35,665.29,580.31,930.46,175955.03,306.61,575.72,20764.71,0.2,2830.0,13583.29,26997.48,35025.06,2713.18,62188.4
104,2020-04-14,143471.16,667.61,40044.73,-656.34,7587.68,1243.79,629.15,614.58,393.42,631.46,179631.19,263.74,505.89,33601.6,0.0,550.0,26917.74,51869.84,75416.75,2353.02,60323.9
105,2020-04-15,143546.48,1101.48,40473.36,-238.73,7891.93,1635.04,784.52,850.54,490.63,787.06,177807.27,186.9,360.47,30124.64,0.0,0.0,31596.6,61733.75,69382.58,2863.12,61617.3
106,2020-04-16,142642.91,1826.47,41273.82,358.47,7651.78,2319.22,1064.9,1254.26,670.85,1075.34,173471.13,184.85,330.08,16861.37,0.0,30.0,35832.82,69809.18,75364.01,3533.43,61977.0
107,2020-04-17,142575.97,1825.77,41278.06,713.4,8704.01,2166.9,1254.69,912.21,790.79,1267.27,173212.41,241.2,398.66,10204.49,0.0,0.0,36188.89,70085.5,72956.31,3470.82,62100.1
108,2020-04-18,142468.36,1818.97,41280.23,798.71,9291.56,2222.81,1316.75,905.96,830.87,1331.1,173117.53,275.4,429.62,14421.21,3.4,4010.0,32612.89,63704.97,72727.36,3434.14,62454.1
109,2020-04-19,142935.51,1381.3,40802.75,115.13,8279.7,1749.54,953.32,796.14,599.16,960.87,175673.38,479.75,762.99,14373.86,5.5,9450.0,35500.44,68127.94,73088.94,2843.5,60949.7
110,2020-04-20,143334.2,1359.75,40748.84,-304.67,6487.16,1741.4,754.06,987.24,472.09,757.57,176360.08,714.73,1093.19,10850.69,0.0,0.0,40759.34,76840.52,78471.39,2631.2,60583.4
111,2020-04-21,143238.66,1557.32,40954.46,-57.3,6759.18,1923.14,855.22,1067.93,536.01,859.72,175352.18,756.37,1141.62,7084.32,0.0,0.0,40448.09,76633.17,78372.17,2784.98,60423.6
112,2020-04-22,143377.83,1755.0,41141.06,-18.32,6286.86,2104.52,872.77,1231.63,546.5,876.64,174670.44,610.65,919.77,11582.89,0.0,0.0,41120.33,77934.28,79626.37,3037.25,60492.2
113,2020-04-23,143147.39,1885.83,41291.29,252.27,6914.15,2273.45,1001.18,1272.34,628.25,1007.38,173801.21,236.64,424.09,16938.8,0.0,0.0,40545.68,77435.1,79232.56,3550.09,61317.1
114,2020-04-24,141734.25,1925.4,41448.54,451.42,7655.88,2359.38,1104.87,1254.54,700.33,1122.64,171894.58,232.39,454.83,34293.25,0.0,0.0,33073.47,63920.02,70289.13,3564.95,62121.9
115,2020-04-25,141835.89,1364.81,40876.52,291.12,8671.01,1725.33,1018.61,706.72,644.97,1034.08,174352.95,250.85,474.8,25551.92,0.0,0.0,21992.15,43167.56,64099.92,2981.37,60243.7
116,2020-04-26,141801.83,1527.58,41042.88,165.13,8057.75,1948.32,957.42,990.9,606.31,972.28,173701.54,204.07,361.77,19568.8,0.0,0.0,41611.45,80323.71,83170.81,3317.86,61433.7
117,2020-04-27,141396.18,1966.47,41518.01,345.46,7305.17,2440.88,1051.47,1389.38,668.08,1071.03,171356.61000000002,271.36,456.96,27785.77,0.0,0.0,39207.8,75748.8,83649.76,3658.86,61707.9
118,2020-04-28,140912.77,1996.34,41588.53,919.21,9134.9,2377.33,1413.55,963.79,902.23,1444.91,170425.37,269.2,462.31,27834.2,1.5,3320.0,23566.38,46863.87,57244.56,3644.15,62104.8
119,2020-04-29,141008.68,2106.62,41691.18,1008.13,8910.22,2427.66,1451.09,976.53,925.44,1481.98,170034.25,298.22,544.89,35564.2,0.0,0.0,25393.18,50618.11,69200.88,3609.66,59881.4
120,2020-04-30,140880.6,1822.88,41416.63,994.67,9859.2,2127.36,1437.52,689.78,917.55,1469.51,171054.04,538.35,830.94,28365.24,0.2,820.0,21173.2,42584.34,38363.34,3275.99,60771.0
121,2020-05-01,140657.39,1523.83,41134.26,709.54,9866.95,1850.6,1251.64,598.92,799.8,1281.37,172115.36,651.93,975.99,30060.1,1.4,2430.0,28727.17,56224.45,81699.76,2962.05,60265.0
122,2020-05-02,141300.74,1205.9,40760.99,639.33,11008.47,1590.67,1209.38,381.31,769.16,1232.6,174277.71,324.36,563.78,33742.68,5.2,3540.0,17391.11,34852.13,49147.44,2755.67,60253.6
123,2020-05-03,142645.53,1570.87,41016.53,603.59,9290.31,1905.09,1188.52,716.43,748.72,1199.86,174391.06,242.25,446.78,34220.85,0.1,450.0,23781.06,47169.81,75836.61,3130.47,60188.6
124,2020-05-04,142648.78,1214.42,40658.93,759.15,11625.58,1604.6,1285.42,319.05,809.96,1297.65,175879.69,229.61,376.51,21515.19,1.1,4570.0,12320.5,25268.12,30609.21,2843.84,62870.3
125,2020-05-05,143005.24,948.12,40362.46,62.55,9920.41,1442.17,916.68,525.64,575.51,923.05,177683.64,253.75,448.33,18763.2,0.0,0.0,29300.6,56548.01,86647.84,2617.05,61702.6
126,2020-05-06,143540.53,1277.13,40647.92,59.01,8339.05,1723.1,908.54,814.57,568.27,911.44,176941.37,225.64,401.89,23344.82,0.0,0.0,40136.4,78074.72,94047.78,2961.67,61333.7
